a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,12:00,OFF,jump ball,,Nazr Mohammed,,,Josh Smith,,,,,,,Al Horford,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:35,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,jump,37,17
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:09,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,3pt,48,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:06,CHA,rebound,,,,,,,,,,Nazr Mohammed,,,,,,off,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:05,CHA,shot,,,,,,,,,,Nazr Mohammed,2,,,made,,putback layup,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:49,ATL,shot,Josh Smith,,,,,,,,,Mike Bibby,2,,,made,,jump,36,23
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:28,CHA,shot,Boris Diaw,,,,,,,,,Stephen Jackson,3,,,made,,3pt,31,31
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:11,ATL,shot,,,Gerald Wallace,,,,,,,Al Horford,,,,missed,,layup,23,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:11,ATL,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:07,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,5,14
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:06,CHA,rebound,,,,,,,,,,Nazr Mohammed,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:54,CHA,turnover,,,,,,,,,,Gerald Wallace,,,bad pass,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:39,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,3pt,48,9
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:38,ATL,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:35,ATL,shot,Marvin Williams,,,,,,,,,Mike Bibby,2,,,made,,jump,5,9
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:13,CHA,turnover,,,,,,,,,,Stephen Jackson,,,bad pass,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:58,ATL,shot,Marvin Williams,,,,,,,,,Josh Smith,2,,,made,,turnaround jump,16,7
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:39,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,15,23
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:38,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:24,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,jump,36,21
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:23,CHA,rebound,,,,,,,,,,Boris Diaw,,,,,,off,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:19,CHA,shot,Boris Diaw,,,,,,,,,Stephen Jackson,2,,,made,,reverse layup,29,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:03,ATL,shot,,,,,,,,,,Al Horford,,,,missed,,jump,37,14
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:01,CHA,rebound,,,,,,,,,,Raymond Felton,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:57,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,running dunk,23,4
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:55,ATL,rebound,,,,,,,,,,Mike Bibby,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:45,ATL,shot,Joe Johnson,,,,,,,,,Josh Smith,2,,,made,,jump,10,20
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:23,CHA,shot,Boris Diaw,,,,,,,,,Stephen Jackson,2,,,made,,jump,14,14
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:15,ATL,turnover,,,,,,,,,,Josh Smith,,,out of bounds lost ball turnover,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:59,CHA,shot,Boris Diaw,,,,,,,,,Gerald Wallace,2,,,made,,turnaround jump,27,9
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:33,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,running jump,19,11
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:33,CHA,foul,,,,,,,,Joe Johnson,,Stephen Jackson,,,,,,shooting,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:33,ATL,free throw,,,,,,,1,,1,Joe Johnson,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:14,CHA,turnover,,,,,,,,,,Stephen Jackson,,,bad pass,,Josh Smith,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:11,ATL,shot,,,,,,,,,,Josh Smith,2,,,made,,running dunk,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:51,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,jump,15,15
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:50,CHA,rebound,,,,,,,,,,Nazr Mohammed,,,,,,off,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:35,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,3pt,45,22
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:32,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:32,ATL,timeout,,,,,,,,,,,,,,,,regular,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:20,CHA,shot,Boris Diaw,,,,,,,,,Nazr Mohammed,2,,,made,,turnaround jump,25,11
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,4:58,ATL,shot,Josh Smith,,,,,,,,,Marvin Williams,2,,,made,,jump,6,11
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,4:37,CHA,shot,,,,,,,,,,Nazr Mohammed,,,,missed,,hook,16,9
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,4:35,CHA,rebound,,,,,,,,,,Boris Diaw,,,,,,off,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,4:30,CHA,turnover,,,,,,,,,,Stephen Jackson,,,bad pass,,Josh Smith,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,4:24,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,running layup,25,7
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,4:08,CHA,turnover,,,,,,,,,,Stephen Jackson,,,traveling,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,4:08,ATL,sub,,,,Jamal Crawford,,Mike Bibby,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,3:48,ATL,turnover,,,,,,,,,,Josh Smith,,,bad pass,,Boris Diaw,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,3:43,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,3pt,12,28
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,3:41,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,3:30,ATL,shot,Josh Smith,,,,,,,,,Al Horford,2,,,made,,layup,24,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,3:16,CHA,shot,,,Jamal Crawford,,,,,,,Raymond Felton,,,,missed,,layup,26,5
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,3:14,ATL,rebound,,,,,,,,,,Jamal Crawford,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,2:57,ATL,shot,Al Horford,,,,,,,,,Joe Johnson,2,,,made,,fade away jumper,12,18
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,2:39,CHA,turnover,,,,,,,,,,Gerald Wallace,,,bad pass,,Joe Johnson,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,2:34,ATL,shot,Josh Smith,,,,,,,,,Marvin Williams,2,,,made,,running layup,23,5
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,2:27,CHA,timeout,,,,,,,,,,,,,,,,regular,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,2:13,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,3pt,48,9
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,2:12,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,1:55,ATL,shot,Jamal Crawford,,,,,,,,,Joe Johnson,2,,,made,,jump,11,19
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,1:40,CHA,foul,,,,,,,,Josh Smith,,Boris Diaw,,,,,,offensive,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,1:40,CHA,turnover,,,,,,,,,,Boris Diaw,,,foul,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,1:25,ATL,shot,Joe Johnson,,,,,,,,,Al Horford,2,,,made,,turnaround jump,22,11
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,1:10,CHA,shot,,,,,,,,,,Raymond Felton,2,,,made,,driving layup,27,5
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,0:54,ATL,shot,,,,,,,,,,Marvin Williams,2,,,made,,driving layup,24,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Marvin Williams,1,0:43,CHA,timeout,,,,,,,,,,,,,,,,short,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Al Horford,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,1,0:43,ATL,sub,,,,Maurice Evans,,Marvin Williams,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:43,ATL,sub,,,,Zaza Pachulia,,Al Horford,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,Gerald Wallace,Nazr Mohammed,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:43,CHA,sub,,,,D.J. Augustin,,Raymond Felton,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:43,CHA,sub,,,,DeSagana Diop,,Nazr Mohammed,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:30,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,driving layup,26,8
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:30,CHA,rebound,,,,,,,,,,Stephen Jackson,,,,,,off,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:30,CHA,shot,,,,,,,,,,Stephen Jackson,2,,,made,,putback layup,25,6
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:06,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,3pt,48,7
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:06,ATL,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:06,ATL,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Boris Diaw,D.J. Augustin,Gerald Wallace,Ronald Murray,Stephen Jackson,Jamal Crawford,Joe Johnson,Josh Smith,Maurice Evans,Zaza Pachulia,1,0:06,CHA,sub,,,,Ronald Murray,,DeSagana Diop,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,Gerald Wallace,Ronald Murray,Stephen Jackson,Jamal Crawford,Jeff Teague,Joe Johnson,Josh Smith,Maurice Evans,1,0:06,ATL,sub,,,,Jeff Teague,,Zaza Pachulia,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,Gerald Wallace,Ronald Murray,Stephen Jackson,Jamal Crawford,Jeff Teague,Joe Johnson,Josh Smith,Maurice Evans,1,0:01,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,27,27
Boris Diaw,D.J. Augustin,Gerald Wallace,Ronald Murray,Stephen Jackson,Jamal Crawford,Jeff Teague,Joe Johnson,Josh Smith,Maurice Evans,1,0:00,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:42,CHA,shot,,,,,,,,,,Ronald Murray,,,,missed,,jump,42,15
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:41,ATL,rebound,,,,,,,,,,Zaza Pachulia,,,,,,def,,
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:25,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,layup,22,6
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:24,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,off,,
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:20,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,putback layup,25,6
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:19,ATL,rebound,,,,,,,,,,Zaza Pachulia,,,,,,off,,
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:19,ATL,shot,,,,,,,,,,Zaza Pachulia,,,,missed,,tip,25,6
Boris Diaw,D.J. Augustin,Derrick Brown,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:19,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,11:19,CHA,sub,,,,DeSagana Diop,,Derrick Brown,,,,,,,,,,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,10:58,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,jump,34,22
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,10:57,ATL,rebound,,,,,,,,,,Jeff Teague,,,,,,def,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,10:38,ATL,shot,,,,,,,,,,Maurice Evans,,,,missed,,3pt,48,7
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,10:36,CHA,rebound,,,,,,,,,,DeSagana Diop,,,,,,def,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,10:18,CHA,shot,Gerald Wallace,,,,,,,,,Ronald Murray,2,,,made,,driving layup,27,6
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,10:01,ATL,shot,Jamal Crawford,,,,,,,,,Josh Smith,2,,,made,,driving layup,24,7
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:49,CHA,shot,Ronald Murray,,,,,,,,,D.J. Augustin,2,,,made,,jump,22,6
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:49,ATL,foul,,,,,,,,D.J. Augustin,,Jeff Teague,,,,,,shooting,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:49,CHA,free throw,,,,,,,1,,1,D.J. Augustin,,,foul,missed,,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:47,ATL,rebound,,,,,,,,,,Zaza Pachulia,,,,,,def,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:32,ATL,turnover,,,,,,,,,,Jamal Crawford,,,lost ball,,Ronald Murray,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:29,ATL,violation,,,,,,,,,,Jeff Teague,,,,,,defensive goaltending,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:29,CHA,shot,Ronald Murray,,,,,,,,,D.J. Augustin,2,,,made,,running layup,25,5
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,9:18,ATL,turnover,,,,,,,,,,Jeff Teague,,,out of bounds lost ball turnover,,,,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,8:55,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,driving layup,26,7
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,8:52,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,8:48,ATL,shot,Zaza Pachulia,,,,,,,,,Jamal Crawford,3,,,made,,3pt,49,7
Boris Diaw,D.J. Augustin,DeSagana Diop,Gerald Wallace,Ronald Murray,Jamal Crawford,Jeff Teague,Josh Smith,Maurice Evans,Zaza Pachulia,2,8:28,ATL,foul,,,,,,,,Gerald Wallace,,Maurice Evans,,,,,,shooting,,
