a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,12:00,OFF,jump ball,,Andrew Bynum,,,Rashard Lewis,,,,,,,Jameer Nelson,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:37,ORL,shot,Vince Carter,,,,,,,,,Rashard Lewis,3,,,made,,3pt,2,5
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:19,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,turnaround jump,35,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:18,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:16,LAL,shot,,,,,,,,,,Andrew Bynum,,,,missed,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:15,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:15,LAL,shot,,,,,,,,,,Pau Gasol,2,,,made,,tip,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:59,LAL,foul,,,,,,,,Vince Carter,,Andrew Bynum,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:59,ORL,free throw,,,,,,,1,,2,Vince Carter,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:59,ORL,free throw,,,,,,,2,,2,Vince Carter,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:49,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,3pt,2,4
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:46,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:33,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,jump bank hook,17,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:31,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:24,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,13,18
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:23,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:22,ORL,foul,,,,,,,,Andrew Bynum,,Dwight Howard,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:22,LAL,free throw,,,,,,,1,,2,Andrew Bynum,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:22,LAL,free throw,,,,,,,2,,2,Andrew Bynum,,,foul,missed,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:21,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:02,ORL,shot,,,Andrew Bynum,,,,,,,Dwight Howard,,,,missed,,running hook,18,11
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:00,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:42,ORL,foul,,,,,,,,Derek Fisher,,Rashard Lewis,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:42,LAL,free throw,,,,,,,1,,2,Derek Fisher,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:42,LAL,free throw,,,,,,,2,,2,Derek Fisher,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:23,ORL,shot,,,,,,,,,,Vince Carter,2,,,made,,jump,30,26
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:04,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,jump,14,24
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:03,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:54,LAL,foul,,,,,,,,Jameer Nelson,,Ron Artest,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:54,ORL,free throw,,,,,,,1,,2,Jameer Nelson,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:54,ORL,free throw,,,,,,,2,,2,Jameer Nelson,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:38,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,turnaround bank,35,11
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:15,ORL,shot,,,Andrew Bynum,,,,,,,Dwight Howard,,,,missed,,jump hook,23,15
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:13,ORL,rebound,,,,,,,,,,Jameer Nelson,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:09,ORL,shot,,,,,,,,,,Matt Barnes,,,,missed,,3pt,25,33
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:08,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:56,LAL,turnover,,,,,,,,,,Pau Gasol,,,lost ball,,Vince Carter,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:51,ORL,turnover,,,,,,,,,,Jameer Nelson,,,bad pass,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:33,LAL,shot,,,,,,,,,,Andrew Bynum,,,,missed,,jump,25,14
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:33,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:29,ORL,foul,,,,,,,,Derek Fisher,,Matt Barnes,,,,,,offensive,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:29,ORL,turnover,,,,,,,,,,Matt Barnes,,,foul,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:13,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:11,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:10,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:10,ORL,foul,,,,,,,,Kobe Bryant,,Vince Carter,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:10,LAL,free throw,,,,,,,1,,1,Kobe Bryant,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:00,ORL,foul,,,,,,,,Ron Artest,,Rashard Lewis,,,,,,offensive,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:00,ORL,turnover,,,,,,,,,,Rashard Lewis,,,foul,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,7:00,ORL,sub,,,,Brandon Bass,,Rashard Lewis,,,,,,,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:44,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,pullup jump,41,11
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:24,ORL,shot,,,,,,,,,,Jameer Nelson,,,,missed,,3pt,37,29
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:23,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:16,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,3pt,43,24
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:15,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:07,LAL,foul,,,,,,,,Matt Barnes,,Andrew Bynum,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:07,ORL,free throw,,,,,,,1,,2,Matt Barnes,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:07,LAL,sub,,,,Lamar Odom,,Andrew Bynum,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:07,ORL,free throw,,,,,,,2,,2,Matt Barnes,,,foul,missed,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,6:06,LAL,rebound,,,,,,,,,,Ron Artest,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:55,ORL,foul,,,,,,,,Kobe Bryant,,Jameer Nelson,,,,,,personal,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:55,ORL,timeout,,,,,,,,,,,,,,,,regular,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:47,LAL,turnover,,,,,,,,,,Pau Gasol,,,3 second violation,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:34,LAL,foul,,,,,,,,Vince Carter,,Pau Gasol,,,,,,shooting,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:34,ORL,free throw,,,,,,,1,,2,Vince Carter,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:34,ORL,free throw,,,,,,,2,,2,Vince Carter,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:17,LAL,shot,,,Dwight Howard,,,,,,,Ron Artest,,,,missed,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:16,LAL,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:08,LAL,shot,,,Brandon Bass,,,,,,,Lamar Odom,,,,missed,,jump,34,12
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:08,ORL,rebound,,,,,,,,,,Jameer Nelson,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:08,ORL,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:08,ORL,shot,,,,,,,,,,Matt Barnes,,,,missed,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:08,LAL,foul,,,,,,,,Brandon Bass,,Lamar Odom,,,,,,shooting,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:08,ORL,free throw,,,,,,,1,,2,Brandon Bass,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,5:08,ORL,free throw,,,,,,,2,,2,Brandon Bass,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:52,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,jump,18,26
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:52,ORL,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:33,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:31,LAL,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:19,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,2,14
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:18,ORL,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:11,ORL,shot,,,,,,,,,,Jameer Nelson,,,,missed,,3pt,13,28
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:09,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,4:09,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,putback dunk,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,3:50,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,fade away bank,15,11
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,3:35,LAL,foul,,,,,,,,Vince Carter,,Lamar Odom,,,,,,shooting,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Matt Barnes,Vince Carter,1,3:35,ORL,free throw,,,,,,,1,,2,Vince Carter,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,3:35,ORL,sub,,,,Mickael Pietrus,,Matt Barnes,,,,,,,,,,,,
Jordan Farmar,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,3:35,LAL,sub,,,,Jordan Farmar,,Derek Fisher,,,,,,,,,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,3:35,LAL,sub,,,,Josh Powell,,Lamar Odom,,,,,,,,,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,3:35,ORL,free throw,,,,,,,2,,2,Vince Carter,,,foul,made,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,3:19,LAL,shot,Pau Gasol,,,,,,,,,Kobe Bryant,2,,,made,,fade away jumper,18,11
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,3:07,ORL,shot,,,,,,,,,,Jameer Nelson,2,,,made,,driving layup,25,6
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,2:56,ORL,foul,,,,,,,,Josh Powell,,Mickael Pietrus,,,,,,personal,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jameer Nelson,Mickael Pietrus,Vince Carter,1,2:56,LAL,timeout,,,,,,,,,,,,,,,,regular,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Ron Artest,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:56,ORL,sub,,,,Jason Williams,,Jameer Nelson,,,,,,,,,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:56,LAL,sub,,,,Shannon Brown,,Ron Artest,,,,,,,,,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:56,LAL,free throw,,,,,,,1,,2,Josh Powell,,,foul,missed,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:56,LAL,rebound,,,,,,,,,,,,,,,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:56,LAL,free throw,,,,,,,2,,2,Josh Powell,,,foul,made,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:46,LAL,foul,,,,,,,,Vince Carter,,Kobe Bryant,,,,,,personal,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:46,ORL,free throw,,,,,,,1,,2,Vince Carter,,,foul,made,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:46,ORL,free throw,,,,,,,2,,2,Vince Carter,,,foul,made,,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:25,LAL,turnover,,,,,,,,,,Jordan Farmar,,,bad pass,,Mickael Pietrus,,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:18,ORL,shot,,,,,,,,,,Jason Williams,,,,missed,,3pt,14,27
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:15,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:15,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,tip,25,6
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:12,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:12,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,dunk,25,6
Jordan Farmar,Josh Powell,Kobe Bryant,Pau Gasol,Shannon Brown,Brandon Bass,Dwight Howard,Jason Williams,Mickael Pietrus,Vince Carter,1,2:07,ORL,foul,,,,,,,,Kobe Bryant,,Dwight Howard,,,,,,personal,,
