a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,12:00,OFF,jump ball,,Andrew Bynum,,,Chris Bosh,,,,,,,Andrew Bynum,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,11:44,LAL,shot,Ron Artest,,,,,,,,,Pau Gasol,2,,,made,,running bank,18,9
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,11:25,TOR,shot,,,,,,,,,,DeMar DeRozan,,,,missed,,turnaround bank,28,10
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,11:23,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,11:14,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,driving layup,23,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,10:58,TOR,shot,,,,,,,,,,Jarrett Jack,2,,,made,,pullup jump,12,12
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,10:42,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,turnaround jump,19,15
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,10:40,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,10:33,TOR,turnover,,,,,,,,,,,,,backcourt turnover,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,10:20,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,24,20
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,10:19,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,10:08,TOR,turnover,,,,,,,,,,DeMar DeRozan,,,step out of bounds turnover,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:55,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,jump,37,25
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:54,TOR,rebound,,,,,,,,,,DeMar DeRozan,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:43,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,jump,15,23
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:42,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:31,LAL,shot,,,Chris Bosh,,,,,,,Andrew Bynum,,,,missed,,layup,27,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:31,LAL,rebound,,,,,,,,,,,,,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:22,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,48,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:21,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:14,TOR,shot,,,,,,,,,,DeMar DeRozan,,,,missed,,jump bank,32,10
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,9:12,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:57,LAL,shot,,,,,,,,,,Pau Gasol,2,,,made,,layup,27,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:38,LAL,foul,,,,,,,,DeMar DeRozan,,Andrew Bynum,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:38,TOR,free throw,,,,,,,1,,2,DeMar DeRozan,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:38,TOR,free throw,,,,,,,2,,2,DeMar DeRozan,,,foul,missed,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:37,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:26,TOR,foul,,,,,,,,Pau Gasol,,Chris Bosh,,,,,,personal,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:12,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,fade away jumper,33,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:12,LAL,rebound,,,,,,,,,,,,,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,8:12,LAL,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:53,TOR,shot,,,,,,,,,,Chris Bosh,2,,,made,,jump bank hook,33,8
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:36,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,25,18
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:35,TOR,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:24,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,driving jump,20,14
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:23,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:10,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,jump,13,21
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:09,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,1,7:04,LAL,foul,,,,,,,,Jarrett Jack,,Derek Fisher,,,,,,personal,,
