year,player,pos,ht,wt,team,selection_type,nba_draft_status,nationality
2016,Stephen Curry,G,2017-06-03,190,Golden State Warriors,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 7,United States
2016,James Harden,SG,2017-06-05,220,Houston Rockets,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 3,United States
2016,Kevin Durant,SF,2017-06-09,240,Golden State Warriors,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States
2016,Kawhi Leonard,F,2017-06-07,230,San Antonio Spurs,Western All-Star Fan Vote Selection,2011 Rnd 1 Pick 15,United States
2016,Anthony Davis,PF,2017-06-11,253,New Orleans Pelicans,Western All-Star Fan Vote Selection,2012 Rnd 1 Pick 1,United States
2016,Russell Westbrook,G,2017-06-03,200,Oklahoma City Thunder,Western All-Star Coaches Selection,2008 Rnd 1 Pick 4,United States
2016,DeMarcus Cousins,C,2017-06-11,270,Sacramento Kings,Western All-Star Coaches Selection,2010 Rnd 1 Pick 5,United States
2016,Klay Thompson,G,2017-06-07,215,Golden State Warriors,Western All-Star Coaches Selection,2011 Rnd 1 Pick 11,United States
2016,Draymond Green,F,2017-06-07,230,Golden State Warriors,Western All-Star Coaches Selection,2012 Rnd 2 Pick 5,United States
2016,Marc Gasol,C,2017-07-01,255,Memphis Grizzlies,Western All-Star Coaches Selection,2007 Rnd 2 Pick 18,Spain
2016,DeAndre Jordan,C,2017-06-11,265,Los Angeles Clippers,Western All-Star Coaches Selection,2008 Rnd 2 Pick 5,United States
2016,Gordon Hayward,GF,2017-06-08,226,Utah Jazz,Western All-Star Coaches Selection,2010 Rnd 1 Pick 9,United States
2016,Kyrie Irving,G,2017-06-03,193,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2011 Rnd 1 Pick 1,"United States
Australia"
2016,DeMar DeRozan,GF,2017-06-07,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,2009 Rnd 1 Pick 9,United States
2016,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2016,Giannis Antetokounmpo,F,2017-06-11,222,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,2013 Rnd 1 Pick 15,"Greece
Nigeria"
2016,Jimmy Butler,GF,2017-06-07,231,Chicago Bulls,Eastern All-Star Fan Vote Selection,2011 Rnd 1 Pick 30,United States
2016,Isaiah Thomas,PG,2017-05-09,185,Boston Celtics,Eastern All-Star Coaches Selection,2011 Rnd 2 Pick 30,United States
2016,John Wall,PG,2017-06-04,210,Washington Wizards,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 1,United States
2016,Kevin Love,FC,2017-06-10,251,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2008 Rnd 1 Pick 5,United States
2016,Kyle Lowry,PG,6-0,205,Toronto Raptors,Eastern All-Star Coaches Selection,2006 Rnd 1 Pick 24,United States
2016,Paul George,GF,2017-06-09,220,Indiana Pacers,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 10,United States
2016,Kemba Walker,G,2017-06-01,184,Charlotte Hornets,Eastern All-Star Coaches Selection,2011 Rnd 1 Pick 9,United States
2016,Paul Millsap,FC,2017-06-08,246,Atlanta Hawks,Eastern All-Star Coaches Selection,2006 Rnd 2 Pick 17,United States
2015,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2015,Dwyane Wade,SG,2017-06-04,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
2015,Paul George,GF,2017-06-09,220,Indiana Pacers,Eastern All-Star Fan Vote Selection,2010 Rnd 1 Pick 10,United States
2015,Carmelo Anthony,F,2017-06-08,240,New York Knicks,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States
2015,Kyle Lowry,PG,6-0,205,Toronto Raptors,Eastern All-Star Fan Vote Selection,2006 Rnd 1 Pick 24,United States
2015,Jimmy Butler,GF,2017-06-07,231,Chicago Bulls,Eastern All-Star Coaches Selection,2011 Rnd 1 Pick 30,United States
2015,DeMar DeRozan,GF,2017-06-07,220,Toronto Raptors,Eastern All-Star Coaches Selection,2009 Rnd 1 Pick 9,United States
2015,Paul Millsap,FC,2017-06-08,246,Atlanta Hawks,Eastern All-Star Coaches Selection,2006 Rnd 2 Pick 17,United States
2015,Andre Drummond,C,2017-06-11,279,Detroit Pistons,Eastern All-Star Coaches Selection,2012 Rnd 1 Pick 9,United States
2015,Chris Bosh,PF,2017-06-11,235,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States
2015,John Wall,PG,2017-06-04,210,Washington Wizards,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 1,United States
2015,Isaiah Thomas,PG,2017-05-09,185,Boston Celtics,Eastern All-Star Coaches Selection,2011 Rnd 2 Pick 30,United States
2015,Pau Gasol,FC,7-0,250,Chicago Bulls,Eastern All-Star Replacement Selection,2001 Rnd 1 Pick 3,Spain
2015,Al Horford,FC,2017-06-10,245,Atlanta Hawks,Eastern All-Star Replacement Selection,2007 Rnd 1 Pick 3,"Dominican Republic
United States"
2015,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2015,Kevin Durant,SF,2017-06-09,240,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States
2015,Kawhi Leonard,F,2017-06-07,230,San Antonio Spurs,Western All-Star Fan Vote Selection,2011 Rnd 1 Pick 15,United States
2015,Stephen Curry,G,2017-06-03,190,Golden State Warriors,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 7,United States
2015,Russell Westbrook,G,2017-06-03,200,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2008 Rnd 1 Pick 4,United States
2015,Draymond Green,F,2017-06-07,230,Golden State Warriors,Western All-Star Coaches Selection,2012 Rnd 2 Pick 5,United States
2015,James Harden,SG,2017-06-05,220,Houston Rockets,Western All-Star Coaches Selection,2009 Rnd 1 Pick 3,United States
2015,Chris Paul,PG,6-0,175,Los Angeles Clippers,Western All-Star Coaches Selection,2005 Rnd 1 Pick 4,United States
2015,Klay Thompson,G,2017-06-07,215,Golden State Warriors,Western All-Star Coaches Selection,2011 Rnd 1 Pick 11,United States
2015,Anthony Davis,PF,2017-06-11,253,New Orleans Pelicans,Western All-Star Coaches Selection,2012 Rnd 1 Pick 1,United States
2015,DeMarcus Cousins,C,2017-06-11,270,Sacramento Kings,Western All-Star Coaches Selection,2010 Rnd 1 Pick 5,United States
2015,LaMarcus Aldridge,FC,2017-06-11,240,San Antonio Spurs,Western All-Star Coaches Selection,2006 Rnd 1 Pick 2,United States
2014,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2014,John Wall,PG,2017-06-04,210,Washington Wizards,Eastern All-Star Fan Vote Selection,2010 Rnd 1 Pick 1,United States
