a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Luis Scola,,,,,,,Kevin Garnett,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:45,BOS,shot,,,,,,,,,,Rajon Rondo,,,,missed,,jump,20,11
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:45,BOS,rebound,,,,,,,,,,,,,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:41,BOS,shot,Ray Allen,,,,,,,,,Paul Pierce,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:24,HOU,turnover,,,,,,,,,,Trevor Ariza,,,lost ball,,Paul Pierce,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:14,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,fade away jumper,26,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:13,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:00,HOU,shot,Kevin Martin,,,,,,,,,Luis Scola,2,,,made,,jump,24,25
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:46,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,jump,24,25
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:45,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:37,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,turnaround jump,22,13
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:36,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:25,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,driving layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:05,BOS,shot,,,,,,,,,,Kevin Garnett,2,,,made,,turnaround jump,17,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:53,HOU,shot,,,,,,,,,,Chuck Hayes,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:52,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:51,HOU,shot,,,,,,,,,,Chuck Hayes,2,,,made,,putback layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:27,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,turnaround fade away,33,10
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:27,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:11,HOU,shot,,,,,,,,,,Kevin Martin,,,,missed,,jump,13,25
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:10,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:04,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,pullup jump,42,14
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:03,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,8:48,HOU,shot,Chuck Hayes,,,,,,,,,Trevor Ariza,3,,,made,,3pt,2,11
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,8:27,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,8:27,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,8:21,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,driving layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:57,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,jump,16,22
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:56,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:54,HOU,foul,,,,,,,,Kendrick Perkins,,Chuck Hayes,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:54,BOS,free throw,,,,,,,1,,2,Kendrick Perkins,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:54,BOS,free throw,,,,,,,2,,2,Kendrick Perkins,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:38,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:18,BOS,shot,,,,,,,,,,Ray Allen,2,,,made,,driving layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,7:00,HOU,shot,,,,,,,,,,Kevin Martin,,,,missed,,jump,14,22
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,6:59,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,6:53,BOS,shot,,,,,,,,,,Rajon Rondo,2,,,made,,driving layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,6:32,HOU,turnover,,,,,,,,,,Luis Scola,,,bad pass,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,6:12,BOS,shot,Ray Allen,,,,,,,,,Kendrick Perkins,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:54,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,29,12
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:53,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:45,BOS,shot,Rajon Rondo,,,,,,,,,Kevin Garnett,2,,,made,,jump,27,24
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:33,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,3pt,14,29
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:32,BOS,rebound,,,,,,,,,,Rajon Rondo,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:28,HOU,foul,,,,,,,,Paul Pierce,,Trevor Ariza,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:28,HOU,timeout,,,,,,,,,,,,,,,,regular,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:28,BOS,free throw,,,,,,,1,,2,Paul Pierce,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:28,BOS,free throw,,,,,,,2,,2,Paul Pierce,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,5:13,HOU,shot,Trevor Ariza,,,,,,,,,Luis Scola,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:56,BOS,turnover,,,,,,,,,,Rajon Rondo,,,bad pass,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:35,HOU,turnover,,,,,,,,,,Chuck Hayes,,,bad pass,,Rajon Rondo,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:24,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,3pt,1,8
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:23,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:08,BOS,foul,,,,,,,,Chuck Hayes,,Ray Allen,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:08,HOU,free throw,,,,,,,1,,2,Chuck Hayes,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:08,HOU,free throw,,,,,,,2,,2,Chuck Hayes,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,4:00,BOS,shot,Ray Allen,,,,,,,,,Paul Pierce,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:48,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,reverse layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:48,HOU,rebound,,,,,,,,,,Aaron Brooks,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:43,BOS,foul,,,,,,,,Luis Scola,,Kevin Garnett,,,,,,shooting,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:43,BOS,sub,,,,Glen Davis,,Kevin Garnett,,,,,,,,,,,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:43,HOU,free throw,,,,,,,1,,2,Luis Scola,,,foul,made,,,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:43,HOU,free throw,,,,,,,2,,2,Luis Scola,,,foul,made,,,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:25,BOS,turnover,,,,,,,,,,Paul Pierce,,,lost ball,,Trevor Ariza,,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:21,HOU,shot,,,,,,,,,,Kevin Martin,2,,,made,,driving dunk,25,6
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:02,BOS,shot,,,,,,,,,,Rajon Rondo,,,,missed,,driving layup,25,6
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,3:01,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,def,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,2:36,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump hook,31,14
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,2:35,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,2:28,BOS,shot,Rajon Rondo,,,,,,,,,Glen Davis,2,,,made,,jump,8,11
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,2:18,BOS,foul,,,,,,,,Aaron Brooks,,Rajon Rondo,,,,,,personal,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,2:18,BOS,timeout,,,,,,,,,,,,,,,,regular,,
Glen Davis,Kendrick Perkins,Marquis Daniels,Rajon Rondo,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,2:18,BOS,sub,,,,Marquis Daniels,,Paul Pierce,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,2:18,BOS,sub,,,,Rasheed Wallace,,Kendrick Perkins,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Aaron Brooks,Chuck Hayes,Jordan Hill,Kevin Martin,Luis Scola,1,2:18,HOU,sub,,,,Jordan Hill,,Trevor Ariza,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Aaron Brooks,Jordan Hill,Kevin Martin,Luis Scola,Shane Battier,1,2:18,HOU,sub,,,,Shane Battier,,Chuck Hayes,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,2:18,HOU,sub,,,,Kyle Lowry,,Aaron Brooks,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,2:00,HOU,shot,,,,,,,,,,Kyle Lowry,,,,missed,,3pt,31,29
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,2:00,HOU,rebound,,,,,,,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,2:00,HOU,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:46,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,3,,,made,,3pt,48,11
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:38,HOU,shot,,,,,,,,,,Kevin Martin,,,,missed,,jump,45,7
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:37,BOS,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:33,BOS,shot,Ray Allen,,,,,,,,,Glen Davis,2,,,made,,layup,25,6
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:18,BOS,foul,,,,,,,,Kevin Martin,,Rasheed Wallace,,,,,,shooting,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:18,HOU,free throw,,,,,,,1,,2,Kevin Martin,,,foul,made,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:18,HOU,free throw,,,,,,,2,,2,Kevin Martin,,,foul,made,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,1:04,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,3,,,made,,3pt,4,18
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:49,HOU,turnover,,,,,,,,,,Kevin Martin,,,lost ball,,Ray Allen,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:42,BOS,shot,,,,,,,,,,Marquis Daniels,,,,missed,,layup,25,6
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:41,HOU,rebound,,,,,,,,,,Jordan Hill,,,,,,def,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:31,HOU,shot,,,,,,,,,,Shane Battier,,,,missed,,3pt,17,31
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:30,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,off,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:26,BOS,foul,,,,,,,,Jordan Hill,,Rasheed Wallace,,,,,,shooting,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:26,HOU,free throw,,,,,,,1,,2,Jordan Hill,,,foul,made,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:26,HOU,free throw,,,,,,,2,,2,Jordan Hill,,,foul,missed,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:26,BOS,rebound,,,,,,,,,,Glen Davis,,,,,,def,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:02,BOS,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:00,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,3pt,13,28
Glen Davis,Marquis Daniels,Rajon Rondo,Rasheed Wallace,Ray Allen,Jordan Hill,Kevin Martin,Kyle Lowry,Luis Scola,Shane Battier,1,0:00,HOU,rebound,,,,,,,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:42,HOU,shot,,,,,,,,,,David Andersen,,,,missed,,jump,18,27
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:41,BOS,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:40,HOU,foul,,,,,,,,Rasheed Wallace,,Kyle Lowry,,,,,,loose ball,,
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:31,BOS,shot,,,,,,,,,,Rasheed Wallace,2,,,made,,jump,30,12
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:15,BOS,foul,,,,,,,,Kyle Lowry,,Nate Robinson,,,,,,personal,,
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:14,HOU,rebound,,,,,,,,,,,,,,,,,,
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:12,BOS,violation,,,,,,,,,,Nate Robinson,,,,,,kicked ball,,
Glen Davis,Marquis Daniels,Michael Finley,Nate Robinson,Rasheed Wallace,Chase Budinger,David Andersen,Jordan Hill,Kyle Lowry,Shane Battier,2,11:01,BOS,foul,,,,,,,,Kyle Lowry,,Nate Robinson,,,,,,personal,,
