a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,12:00,OFF,jump ball,,Chris Bosh,,,Brendan Haywood,,,,,,,Andrea Bargnani,,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:46,TOR,shot,,,,,,,,,,Chris Bosh,2,,,made,,jump,42,15
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:31,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,42,14
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:30,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:26,TOR,shot,Jose Calderon,,,,,,,,,DeMar DeRozan,2,,,made,,layup,25,7
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:26,WAS,foul,,,,,,,,DeMar DeRozan,,Nick Young,,,,,,shooting,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:26,TOR,free throw,,,,,,,1,,1,DeMar DeRozan,,,foul,made,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:13,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,jump,24,22
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,11:12,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:57,TOR,shot,Jose Calderon,,,,,,,,,Chris Bosh,2,,,made,,hook,30,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:37,WAS,shot,,,Chris Bosh,,,,,,,Brendan Haywood,,,,missed,,jump,22,5
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:36,TOR,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:28,TOR,shot,,,,,,,,,,Hedo Turkoglu,,,,missed,,3pt,19,30
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:27,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:23,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,3pt,6,25
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:22,WAS,rebound,,,,,,,,,,Nick Young,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:12,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,3pt,10,26
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:11,TOR,rebound,,,,,,,,,,Jose Calderon,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:03,TOR,shot,Jose Calderon,,,,,,,,,Hedo Turkoglu,3,,,made,,3pt,23,30
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,10:03,WAS,timeout,,,,,,,,,,,,,,,,regular,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:49,TOR,foul,,,,,,,,,,Andrea Bargnani,,,,,,defense 3 second,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:49,WAS,free throw,,,,,,,1,,1,Gilbert Arenas,,,technical,made,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:39,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,jump,27,17
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:37,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:35,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,layup,27,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:35,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:33,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,25,9
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:32,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:17,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,jump,10,18
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:16,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,9:08,TOR,shot,Chris Bosh,,,,,,,,,DeMar DeRozan,2,,,made,,layup,26,7
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,8:42,WAS,shot,,,,,,,,,,Nick Young,,,,missed,,jump,30,22
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,8:41,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,8:33,WAS,shot,Caron Butler,,,,,,,,,Gilbert Arenas,3,,,made,,3pt,15,31
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,8:20,TOR,turnover,,,,,,,,,,Hedo Turkoglu,,,traveling,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,8:07,WAS,shot,,,,,,,,,,Nick Young,,,,missed,,3pt,47,16
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,8:06,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,8:01,TOR,shot,Jose Calderon,,,,,,,,,Andrea Bargnani,2,,,made,,jump,13,16
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:39,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,24,13
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:38,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:32,TOR,shot,,,,,,,,,,Hedo Turkoglu,,,,missed,,3pt,8,24
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:31,WAS,rebound,,,,,,,,,,Nick Young,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:21,TOR,foul,,,,,,,,Brendan Haywood,,Andrea Bargnani,,,,,,shooting,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:21,WAS,free throw,,,,,,,1,,2,Brendan Haywood,,,foul,missed,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:21,WAS,rebound,,,,,,,,,,,,,,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:21,WAS,free throw,,,,,,,2,,2,Brendan Haywood,,,foul,made,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,7:00,TOR,shot,Hedo Turkoglu,,,,,,,,,Andrea Bargnani,2,,,made,,turnaround jump,15,15
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:46,WAS,shot,,,,,,,,,,Nick Young,,,,missed,,jump,40,4
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:37,TOR,rebound,,,,,,,,,,DeMar DeRozan,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:32,TOR,shot,Hedo Turkoglu,,,,,,,,,Jose Calderon,3,,,made,,3pt,2,18
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:14,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,3pt,23,31
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:12,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:10,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,layup,24,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:09,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:08,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,layup,25,8
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:07,TOR,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Nick Young,1,6:03,WAS,foul,,,,,,,,Chris Bosh,,Antawn Jamison,,,,,,shooting,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,6:03,WAS,sub,,,,Earl Boykins,,Nick Young,,,,,,,,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,6:03,TOR,free throw,,,,,,,1,,2,Chris Bosh,,,foul,made,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,6:03,TOR,free throw,,,,,,,2,,2,Chris Bosh,,,foul,missed,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,6:01,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:47,WAS,shot,,,,,,,,,,Gilbert Arenas,2,,,made,,running bank,38,12
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:34,TOR,shot,,,,,,,,,,DeMar DeRozan,,,,missed,,jump,31,12
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:33,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:26,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,3pt,18,30
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:25,WAS,rebound,,,,,,,,,,,,,,,,,,
Andrea Bargnani,Antoine Wright,Chris Bosh,DeMar DeRozan,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:24,TOR,sub,,,,Antoine Wright,,Hedo Turkoglu,,,,,,,,,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:24,TOR,sub,,,,Amir Johnson,,Chris Bosh,,,,,,,,,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:18,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,16,24
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:17,TOR,rebound,,,,,,,,,,Antoine Wright,,,,,,def,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:11,WAS,foul,,,,,,,,DeMar DeRozan,,Antawn Jamison,,,,,,shooting,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Antawn Jamison,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:11,TOR,free throw,,,,,,,1,,2,DeMar DeRozan,,,foul,made,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:11,WAS,sub,,,,Andray Blatche,,Antawn Jamison,,,,,,,,,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:11,TOR,free throw,,,,,,,2,,2,DeMar DeRozan,,,foul,made,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,5:01,TOR,foul,,,,,,,,Gilbert Arenas,,Jose Calderon,,,,,,personal,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:56,WAS,turnover,,,,,,,,,,Earl Boykins,,,out of bounds lost ball turnover,,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:35,TOR,shot,,,,,,,,,,Jose Calderon,,,,missed,,jump,10,17
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:34,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:25,TOR,foul,,,,,,,,Caron Butler,,Antoine Wright,,,,,,shooting,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jose Calderon,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:25,WAS,free throw,,,,,,,1,,2,Caron Butler,,,foul,made,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,DeMar DeRozan,Jarrett Jack,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:25,TOR,sub,,,,Jarrett Jack,,Jose Calderon,,,,,,,,,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,Jarrett Jack,Marco Belinelli,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:25,TOR,sub,,,,Marco Belinelli,,DeMar DeRozan,,,,,,,,,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,Jarrett Jack,Marco Belinelli,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:25,WAS,free throw,,,,,,,2,,2,Caron Butler,,,foul,made,,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,Jarrett Jack,Marco Belinelli,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,4:08,TOR,turnover,,,,,,,,,,Andrea Bargnani,,,lost ball,,Andray Blatche,,,
Amir Johnson,Andrea Bargnani,Antoine Wright,Jarrett Jack,Marco Belinelli,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,3:57,WAS,shot,,,,,,,,,,Andray Blatche,2,,,made,,driving layup,26,6
Amir Johnson,Andrea Bargnani,Antoine Wright,Jarrett Jack,Marco Belinelli,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,3:54,TOR,turnover,,,,,,,,,,Jarrett Jack,,,traveling,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Brendan Haywood,Caron Butler,Earl Boykins,Gilbert Arenas,1,3:54,TOR,sub,,,,Rasho Nesterovic,,Andrea Bargnani,,,,,,,,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,3:54,WAS,sub,,,,JaVale McGee,,Brendan Haywood,,,,,,,,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,3:43,WAS,shot,Gilbert Arenas,,,,,,,,,Andray Blatche,2,,,made,,jump,11,19
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,3:36,TOR,foul,,,,,,,,Andray Blatche,,Amir Johnson,,,,,,offensive,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,3:36,TOR,turnover,,,,,,,,,,Amir Johnson,,,foul,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,3:27,WAS,foul,,,,,,,,Rasho Nesterovic,,JaVale McGee,,,,,,offensive,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,3:27,WAS,turnover,,,,,,,,,,JaVale McGee,,,foul,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,3:13,TOR,shot,Rasho Nesterovic,,,,,,,,,Jarrett Jack,3,,,made,,3pt,48,16
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,2:58,WAS,shot,,,,,,,,,,Earl Boykins,,,,missed,,jump,12,18
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,2:57,TOR,rebound,,,,,,,,,,Antoine Wright,,,,,,def,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,2:42,TOR,shot,Jarrett Jack,,,,,,,,,Amir Johnson,2,,,made,,hook,25,11
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,2:15,WAS,shot,,,,,,,,,,Andray Blatche,,,,missed,,jump,39,11
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,2:15,WAS,rebound,,,,,,,,,,,,,,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,2:15,WAS,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,Gilbert Arenas,JaVale McGee,1,2:15,TOR,timeout,,,,,,,,,,,,,,,,regular,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,JaVale McGee,Randy Foye,1,2:15,WAS,sub,,,,Randy Foye,,Gilbert Arenas,,,,,,,,,,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,JaVale McGee,Randy Foye,1,1:56,TOR,turnover,,,,,,,,,,Antoine Wright,,,bad pass,,Caron Butler,,,
Amir Johnson,Antoine Wright,Jarrett Jack,Marco Belinelli,Rasho Nesterovic,Andray Blatche,Caron Butler,Earl Boykins,JaVale McGee,Randy Foye,1,1:46,TOR,foul,,,,,,,,Caron Butler,,Antoine Wright,,,,,,shooting,,
