a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,12:00,OFF,jump ball,,Shaquille O'Neal,,,Andrew Bynum,,,,,,,Derek Fisher,,,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,11:45,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,jump,7,11
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,11:44,LAL,rebound,,,,,,,,,,Derek Fisher,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,11:41,LAL,shot,,,,,,,,,,Derek Fisher,2,,,made,,layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,11:35,CLE,turnover,,,,,,,,,,Mo Williams,,,bad pass,,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,11:23,LAL,shot,Ron Artest,,,,,,,,,Pau Gasol,2,,,made,,hook,19,14
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,11:04,CLE,shot,,,,,,,,,,Shaquille O'Neal,,,,missed,,hook,25,12
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,11:03,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,10:53,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,jump,8,13
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,10:36,CLE,shot,Mo Williams,,,,,,,,,Shaquille O'Neal,2,,,made,,slam dunk,25,6
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,10:12,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,jump,7,6
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:51,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,jump,43,13
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:49,CLE,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:43,CLE,shot,,,,,,,,,,Anthony Parker,,,,missed,,3pt,10,29
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:42,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:31,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,32,22
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:30,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:22,CLE,shot,,,,,,,,,,LeBron James,3,,,made,,3pt,45,22
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:03,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump hook,25,11
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,9:01,CLE,rebound,,,,,,,,,,,,,,,,,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,8:38,CLE,sub,,,,Zydrunas Ilgauskas,,J.J. Hickson,,,,,,,,,,,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,8:36,CLE,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,8:23,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,jump,42,13
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,8:22,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,8:12,CLE,shot,,,,,,,,,,Mo Williams,2,,,made,,turnaround jump,7,8
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,8:00,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,3pt,48,7
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:59,CLE,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:44,CLE,shot,,,,,,,,,,Anthony Parker,,,,missed,,3pt,2,13
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:43,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:21,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,20,13
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:19,LAL,rebound,,,,,,,,,,Ron Artest,,,,,,off,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:18,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,layup,25,6
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:17,CLE,rebound,,,,,,,,,,Anthony Parker,,,,,,def,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,7:11,CLE,shot,Mo Williams,,,,,,,,,Shaquille O'Neal,2,,,made,,slam dunk,25,6
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:56,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,26,13
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:55,CLE,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:49,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,3pt,12,28
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:48,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:36,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,layup,25,6
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:35,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,off,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:35,LAL,turnover,,,,,,,,,,Pau Gasol,,,offensive goaltending,,,,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:19,CLE,shot,Mo Williams,,,,,,,,,LeBron James,2,,,made,,driving layup,25,6
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,6:07,LAL,shot,,,,,,,,,,Andrew Bynum,2,,,made,,jump hook,27,14
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,5:51,CLE,shot,Anthony Parker,,,,,,,,,Shaquille O'Neal,2,,,made,,slam dunk,25,6
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,5:23,LAL,shot,Kobe Bryant,,,,,,,,,Pau Gasol,2,,,made,,slam dunk,25,6
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,4:55,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,jump,7,7
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,4:54,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,4:48,CLE,foul,,,,,,,,Pau Gasol,,Shaquille O'Neal,,,,,,shooting,,
Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,4:48,LAL,timeout,,,,,,,,,,,,,,,,regular,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,1,4:48,CLE,sub,,,,Anderson Varejao,,Shaquille O'Neal,,,,,,,,,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:48,LAL,sub,,,,Lamar Odom,,Andrew Bynum,,,,,,,,,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:48,LAL,free throw,,,,,,,1,,2,Pau Gasol,,,foul,missed,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:48,LAL,rebound,,,,,,,,,,,,,,,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:48,LAL,free throw,,,,,,,2,,2,Pau Gasol,,,foul,made,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:32,CLE,shot,LeBron James,,,,,,,,,Anthony Parker,2,,,made,,jump,6,7
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:17,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,turnaround jump,31,15
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:16,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,4:07,CLE,jump ball,,LeBron James,,,Derek Fisher,,,,,,,Anthony Parker,,,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:54,LAL,foul,,,,,,,,Anthony Parker,,Kobe Bryant,,,,,,shooting,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:54,CLE,free throw,,,,,,,1,,3,Anthony Parker,,,foul,made,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:54,CLE,free throw,,,,,,,2,,3,Anthony Parker,,,foul,made,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:54,CLE,free throw,,,,,,,3,,3,Anthony Parker,,,foul,missed,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:52,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:34,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,layup,25,6
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:32,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,off,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:29,LAL,shot,,,,,,,,,,Lamar Odom,2,,,made,,tip,25,6
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,3:17,CLE,shot,Mo Williams,,,,,,,,,LeBron James,2,,,made,,slam dunk,25,6
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,2:51,LAL,turnover,,,,,,,,,,Pau Gasol,,,poss lost ball turnover,,,,,
Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,2:51,CLE,timeout,,,,,,,,,,,,,,,,regular,,
Anderson Varejao,Anthony Parker,Delonte West,LeBron James,Zydrunas Ilgauskas,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Ron Artest,1,2:51,CLE,sub,,,,Delonte West,,Mo Williams,,,,,,,,,,,,
Anderson Varejao,Anthony Parker,Delonte West,LeBron James,Zydrunas Ilgauskas,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,2:51,LAL,sub,,,,Andrew Bynum,,Pau Gasol,,,,,,,,,,,,
Anderson Varejao,Anthony Parker,Delonte West,LeBron James,Zydrunas Ilgauskas,Andrew Bynum,Jordan Farmar,Kobe Bryant,Lamar Odom,Ron Artest,1,2:51,LAL,sub,,,,Jordan Farmar,,Derek Fisher,,,,,,,,,,,,
Anderson Varejao,Anthony Parker,Delonte West,LeBron James,Zydrunas Ilgauskas,Andrew Bynum,Jordan Farmar,Kobe Bryant,Lamar Odom,Ron Artest,1,2:33,CLE,turnover,,,,,,,,,,LeBron James,,,bad pass,,,,,
Anderson Varejao,Anthony Parker,Delonte West,LeBron James,Zydrunas Ilgauskas,Andrew Bynum,Jordan Farmar,Kobe Bryant,Lamar Odom,Ron Artest,1,2:22,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,jump,14,22
